protein,y_values_a,y_values_b,max_index_a,max_index_b,difference,filename
LINC00493,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '16374000', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1692100', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '2685200', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",22,11,11,./output/LINC00493.png
PIGBOS1,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",0,0,0,./output/PIGBOS1.png
UBA6,"['0', '1662600', '0', '0', 1874100.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '1462500']","['0', '2951900', '0', 2371300.0, 2808200.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",59,4,55,./output/UBA6.png
ESYT2,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '6884800', '9894900', '15429000', '17866000', '20062000', '13759000', '11252000', '10671000', '318570', '4023000', '11424000', '13944000', '29073000', '26271000', '32691000', '33197000', '25590000', '25244000', 23267000.0, 0.0, '18722000', '13869000', '12170000', '9609400', '6308000', '11295000', '12024000', '6070500', '3308300', '14296000', 0.0, '9552800', '12542000', '11750000', '6614500', '4384700', '6961100', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '365420', '0', '0', '1580300', '8436500', '13172000', '21639000', '24519000', '25865000', '23763000', '25043000', '0', '22071000', '20842000', '16293000', '25877000', '40332000', '48995000', '59017000', '61218000', '64291000', '49378000', 0.0, '47712000', '41617000', '26177000', '27569000', '21411000', '19938000', '19220000', 18620000.0, '30255000', '23765000', '0', '29176000', '29587000', '27124000', '26860000', '19677000', '26045000', '27899000', '0', '0', '0', 0.0, '0', '0', '0', '0']",50,51,-1,./output/ESYT2.png
TMEM223,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 1463400.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5528200', '0', '4141500', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '2931200', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",57,44,13,./output/TMEM223.png
ILVBL,"['0', '488780', '0', '1199500', 3868100.0, '9579400', 16178000.0, 11481000.0, '8554500', '5731600', '2682300', '0', '2239400', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '1661700', 4753100.0, 13145000.0, '5352400', '3984300', '4643800', '1119700', '1057400', '2537200', '0', '0', '1448600', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",12,13,-1,./output/ILVBL.png
C17orf89,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 5754100.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3313700', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 3041600.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",33,33,0,./output/C17orf89.png
SH3PXD2B,"['0', '1706000', '2048300', '1607300', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",3,0,3,./output/SH3PXD2B.png
NBAS,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 1950300.0, 0.0, '20843000', '35568000', '49229000', '19497000', '1180300', '5568800', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '12050000', '4779400', '36499000', '13602000', '1139700', '643210', 0.0, '1144300', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",39,42,-3,./output/NBAS.png
CCDC144B;CCDC144A,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",0,0,0,./output/CCDC144BCCDC144A.png
VWA8,"['0', '0', '0', '0', 0.0, '0', 451450.0, 0.0, '0', '439410', '477030', '0', '9364500', '29433000', '13303000', '14611000', '6592700', '1872800', '1545700', '844080', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '6900200', '14110000', '8713600', '3709500', '1803400', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",19,17,2,./output/VWA8.png
GTPBP10,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2774200', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 2073700.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 582610.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1006200', '0', '599490', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '9043100', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 2706300.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",57,33,24,./output/GTPBP10.png
TMEM189,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",0,0,0,./output/TMEM189.png
MAP1LC3B2;MAP1LC3B;MAP1LC3A,"['0', '2059700', '0', '3497800', 3619900.0, '2586100', 4798800.0, 4591400.0, '5314000', '0', '0', '6775500', '0', '0', '0', '0', '0', '0', '0', '0', '0', '7363800', '10052000', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 26880000.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 3806100.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2821100', '0', '3224700', 2668400.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '4621700', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '7608100', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 4587600.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",58,33,25,./output/MAP1LC3B2MAP1LC3BMAP1LC3A.png
METTL15,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5277200', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '669180', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5907000', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",22,22,0,./output/METTL15.png
LYRM9,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",0,0,0,./output/LYRM9.png
CEBPZOS,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",0,0,0,./output/CEBPZOS.png
KIAA1324L,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '8079600', '13355000', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2473300', '17252000', '5885400', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '0', '0']",18,19,-1,./output/KIAA1324L.png
NUDT19,"['0', '0', '0', '0', 0.0, '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '18618000', '0', '0', '0', '0', '0', '0', '0', '0', '0', 0.0, 20768000.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 17398000.0, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '9653700', '0', '6410400', 0.0, '0']","['0', '0', '0', 0.0, 0.0, '0', '0', '0', '0', '0', '0', '8324800', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '28981000', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 22525000.0, '0', '0', '0', '0', '0', '0', '0', 0.0, '0', '0', '24708000', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 16733000.0, '0', '5739300', '1001800', '0']",57,58,-1,./output/NUDT19.png
